test	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS2		Utilization	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Utilization	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	204800.0	60	0.00735983877786423	1000000	0.0075358344674102355	true	0.007711830156956241	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01		0.03			System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01		0.03		Class1	System Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	WS		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	WS	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS1		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS1	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS2		Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
class1-0.5-double	AS2	ChangeQueueingStrategy	0.01	station	0.03	AS2	Class1	Drop Rate	0.0	0	0.0	1000000	0.0	true	0.0	0.0	0	0.0	1000000	0.0	true	0.0	false
